Stock.ID,Species,Stock,Date.data.obtained,Date.data.incorporated,Ocean.Region,Region,Sub.Region,Jurisdiction,Lat,Lon,Source.ID,Comment
187,Sockeye,Kainet Creek,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
188,Sockeye,Keecha,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
189,Sockeye,Kitlope,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
190,Sockeye,Kitsumkalum,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
191,Sockeye,Kitwancool,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
192,Sockeye,Koeye,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
193,Sockeye,Kooryet,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
194,Sockeye,Kwakwa Creek,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
195,Sockeye,Lakelse,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
196,Sockeye,Lowe/Simpson/Weir,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
197,Sockeye,Lower Nass - Portland,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
198,Sockeye,Marian,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
199,Sockeye,Mary Cove Creek,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
200,Sockeye,Mathers,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
201,Sockeye,Mcdonell,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
202,Sockeye,Mercer,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
203,Sockeye,Meziadin,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
204,Sockeye,Mikado,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
205,Sockeye,Morice,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
206,Sockeye,Motase,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
207,Sockeye,Namu,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
208,Sockeye,Northern Coastal Fjords,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
209,Sockeye,Port John,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
210,Sockeye,Prudhomme,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
211,Sockeye,Roderick,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
212,Sockeye,Shawatlan,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
213,Sockeye,Skidegate,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
214,Sockeye,Stephens,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
215,Sockeye,Swan,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
216,Sockeye,Tahlo/Morrison,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
217,Sockeye,Tankeeah River,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
218,Sockeye,Tsimtack/Moore/Roger,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
219,Sockeye,Yakoun,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
220,Sockeye,Azuklotz,9/1/2017,NA,NA,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
